Cell-id,Group,Mtio.dist
Old_tz11,OLD,LD
Old_tz15,OLD,LD
Old_tz18,OLD,LD
Old_tz19,OLD,LD
Old_tz20,OLD,LD
Old_tz22,OLD,LD
Old_tz24,OLD,LD
Old_tz25,OLD,LD
Old_tz27,OLD,LD
Old_tz29,OLD,LD
Old_tz30,OLD,LD
Old_tz36,OLD,LD
Old_tz37,OLD,LD
Old_tz5-15,OLD,LD
Old_tz5-16,OLD,LD
Old_tz5-2,OLD,LD
Old_tz5-20,OLD,LD
Old_tz5-21,OLD,LD
Old_tz5-27,OLD,LD
Old_tz5-28,OLD,LD
Old_tz5-3,OLD,LD
Old_tz5-31,OLD,LD
Old_tz5-32,OLD,LD
Old_tz5-37,OLD,LD
Old_tz5-38,OLD,LD
Old_tz5-48,OLD,LD
Old_tz5-53,OLD,LD
Old_tz5-6,OLD,LD
Old_tz5-7,OLD,LD
Old_tz5-8,OLD,LD
Old_tz1,OLP,LP
Old_tz10,OLP,LP
Old_tz12,OLP,LP
Old_tz13,OLP,LP
Old_tz14,OLP,LP
Old_tz16,OLP,LP
Old_tz17,OLP,LP
Old_tz2,OLP,LP
Old_tz21,OLP,LP
Old_tz23,OLP,LP
Old_tz26,OLP,LP
Old_tz28,OLP,LP
Old_tz3,OLP,LP
Old_tz31,OLP,LP
Old_tz32,OLP,LP
Old_tz33,OLP,LP
Old_tz34,OLP,LP
Old_tz35,OLP,LP
Old_tz4,OLP,LP
Old_tz5,OLP,LP
Old_tz5-10,OLP,LP
Old_tz5-17,OLP,LP
Old_tz5-18,OLP,LP
Old_tz5-24,OLP,LP
Old_tz5-26,OLP,LP
Old_tz5-29,OLP,LP
Old_tz5-40,OLP,LP
Old_tz5-43,OLP,LP
Old_tz5-46,OLP,LP
Old_tz7,OLP,LP
Old_tz9,OLP,LP
Old_tz5-34,OSD,SD
Old_tz5-36,OSD,SD
Old_tz5-45,OSD,SD
Old_tz5-5,OSD,SD
Old_tz5-50,OSD,SD
Old_tz5-9,OSD,SD
Old_tz6,OSD,SD
Young_tz4-1,YLD,LD
Young_tz4-14,YLD,LD
Young_tz4-15,YLD,LD
Young_tz4-16,YLD,LD
Young_tz4-27,YLD,LD
Young_tz4-28,YLD,LD
Young_tz4-38,YLD,LD
Young_tz4-47,YLD,LD
Young_tz4-7,YLD,LD
Young_tz4-8,YLD,LD
Young_tz6-13,YLD,LD
Young_tz6-14,YLD,LD
Young_tz6-16,YLD,LD
Young_tz6-2,YLD,LD
Young_tz6-21,YLD,LD
Young_tz6-26,YLD,LD
Young_tz6-31,YLD,LD
Young_tz6-32,YLD,LD
Young_tz6-34,YLD,LD
Young_tz6-35,YLD,LD
Young_tz6-36,YLD,LD
Young_tz6-40,YLD,LD
Young_tz6-41,YLD,LD
Young_tz6-42,YLD,LD
Young_tz6-43,YLD,LD
Young_tz6-7,YLD,LD
Young_tz6-8,YLD,LD
Young_tz6-9,YLD,LD
Young_z2-10,YLD,LD
Young_z2-11,YLD,LD
Young_z2-14,YLD,LD
Young_z2-17,YLD,LD
Young_z2-19,YLD,LD
Young_z2-27,YLD,LD
Young_z2-28,YLD,LD
Young_z2-29,YLD,LD
Young_z2-33,YLD,LD
Young_z2-34,YLD,LD
Young_z2-35,YLD,LD
Young_z2-37,YLD,LD
Young_z2-38,YLD,LD
Young_z2-39,YLD,LD
Young_z2-4,YLD,LD
Young_z2-40,YLD,LD
Young_z2-42,YLD,LD
Young_z2-43,YLD,LD
Young_z2-7,YLD,LD
Young_z2-8,YLD,LD
Young_z2-9,YLD,LD
Young_tz4-17,YLP,LP
Young_tz4-25,YLP,LP
Young_tz4-32,YLP,LP
Young_tz4-68,YLP,LP
Young_tz6-10,YLP,LP
Young_tz6-11,YLP,LP
Young_tz6-15,YLP,LP
Young_tz6-18,YLP,LP
Young_tz6-20,YLP,LP
Young_tz6-22,YLP,LP
Young_tz6-24,YLP,LP
Young_tz6-25,YLP,LP
Young_tz6-27,YLP,LP
Young_tz6-28,YLP,LP
Young_tz6-29,YLP,LP
Young_tz6-30,YLP,LP
Young_tz6-37,YLP,LP
Young_tz6-39,YLP,LP
Young_tz6-4,YLP,LP
Young_tz6-44,YLP,LP
Young_tz6-45,YLP,LP
Young_tz6-46,YLP,LP
Young_tz6-5,YLP,LP
Young_z2-12,YLP,LP
Young_z2-13,YLP,LP
Young_z2-15,YLP,LP
Young_z2-16,YLP,LP
Young_z2-21,YLP,LP
Young_z2-23,YLP,LP
Young_z2-24,YLP,LP
Young_z2-25,YLP,LP
Young_z2-3,YLP,LP
Young_z2-30,YLP,LP
Young_z2-32,YLP,LP
Young_z2-36,YLP,LP
Young_z2-41,YLP,LP
Young_z2-5,YLP,LP
Young_z2-6,YLP,LP
Young_tz4-10,YSD,SD
Young_tz4-11,YSD,SD
Young_tz4-12,YSD,SD
Young_tz4-13,YSD,SD
Young_tz4-18,YSD,SD
Young_tz4-20,YSD,SD
Young_tz4-21,YSD,SD
Young_tz4-23,YSD,SD
Young_tz4-24,YSD,SD
Young_tz4-26,YSD,SD
Young_tz4-29,YSD,SD
Young_tz4-3,YSD,SD
Young_tz4-31,YSD,SD
Young_tz4-33,YSD,SD
Young_tz4-34,YSD,SD
Young_tz4-35,YSD,SD
Young_tz4-36,YSD,SD
Young_tz4-37,YSD,SD
Young_tz4-4,YSD,SD
Young_tz4-40,YSD,SD
Young_tz4-41,YSD,SD
Young_tz4-42,YSD,SD
Young_tz4-43,YSD,SD
Young_tz4-45,YSD,SD
Young_tz4-46,YSD,SD
Young_tz4-48,YSD,SD
Young_tz4-49,YSD,SD
Young_tz4-50,YSD,SD
Young_tz4-51,YSD,SD
Young_tz4-53,YSD,SD
Young_tz4-54,YSD,SD
Young_tz4-55,YSD,SD
Young_tz4-56,YSD,SD
Young_tz4-58,YSD,SD
Young_tz4-61,YSD,SD
Young_tz4-62,YSD,SD
Young_tz4-63,YSD,SD
Young_tz4-64,YSD,SD
Young_tz4-65,YSD,SD
Young_tz4-66,YSD,SD
Young_tz4-67,YSD,SD
Young_tz4-9,YSD,SD
Young_tz6-12,YSD,SD
Young_tz6-17,YSD,SD
Young_tz6-23,YSD,SD
Young_tz6-3,YSD,SD
Young_tz6-33,YSD,SD
Young_z2-18,YSD,SD
Young_z2-2,YSD,SD
Young_z2-20,YSD,SD
Young_z2-22,YSD,SD
Young_z2-26,YSD,SD
Young_z2-31,YSD,SD
Young_z2-44,YSD,SD
Young_tz4-19,YSD,SD
Young_tz4-2,YSD,SD
Young_tz4-22,YSD,SD
Young_tz4-30,YSD,SD
Young_tz4-39,YSD,SD
Young_tz4-44,YSD,SD
Young_tz4-57,YSD,SD
Young_tz4-59,YSD,SD
